This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'stock 8000'

stock 8000
Symbol,Last,%Change,ivP,ivR,Div. Yield - Current,Bid,Ask,Market Maker Move
PINS,19.00,+3.49%,NaN,NaN,<empty>,18.99,19.00,±0.077
CBS,40.77,0.00%,75.0,58.0,<empty>,40.63,42.48,<empty>
CGC,19.84,-0.30%,77.0,67.0,<empty>,19.83,19.84,<empty>
DB,8.065,-0.68%,9.0,14.0,<empty>,8.06,8.07,±0.137
GOLD,18.585,+0.08%,17.0,21.0,<empty>,18.58,18.59,±0.313
IQ,23.165,+0.54%,23.0,29.0,<empty>,23.16,23.17,±0.243
MRTX,112.15,-0.93%,72.0,31.0,<empty>,112.11,112.19,±8.288
NXPI,126.07,-0.97%,27.0,23.0,<empty>,126.08,126.12,±0.273
PDD,39.89,-2.45%,12.0,12.0,<empty>,39.89,39.90,±0.26
UBER,31.8392,+1.50%,NaN,NaN,<empty>,31.83,31.84,±0.434
WORK,23.60,+5.08%,NaN,NaN,<empty>,23.59,23.60,±0.305
CTL,12.8446,+2.02%,40.0,27.0,10.337,12.84,12.85,<empty>
M,17.12,+3.57%,66.0,43.0,9.6919,17.12,17.13,±0.664
ET,13.775,+1.66%,55.0,46.0,9.3272,13.77,13.78,±0.237
SIG,18.48,-2.94%,64.0,47.0,9.1358,18.47,18.49,<empty>
MO,49.98,+0.71%,16.0,14.0,7.9218,49.98,49.99,<empty>
OXY,44.94,+3.05%,67.0,61.0,7.0385,44.94,44.95,±0.401
BBBY,16.4447,+2.27%,70.0,65.0,6.8252,16.44,16.45,±1.862
KHC,31.3153,+0.24%,40.0,30.0,6.5553,31.31,31.32,<empty>
F,9.135,-0.81%,66.0,43.0,6.5502,9.13,9.14,±0.132
BP,39.9362,+2.85%,75.0,50.0,6.4754,39.93,39.94,±0.193
PM,85.69,+0.78%,24.0,24.0,6.045,85.68,85.70,±0.643
SLB,40.565,+0.01%,52.0,40.0,5.8531,40.56,40.57,<empty>
ABBV,88.93,+0.26%,56.0,40.0,5.5071,88.92,88.94,<empty>
LVS,69.8675,+0.21%,12.0,11.0,5.2978,69.86,69.88,<empty>
KSS,50.37,+2.40%,50.0,29.0,5.0298,50.37,50.38,±2.309
XOM,70.84,+0.73%,custom expression subscription limit exceeded,40.0,4.7869,70.83,70.84,±0.304
STX,58.065,-1.43%,36.0,30.0,4.7317,58.06,58.07,<empty>
IBM,133.62,-0.54%,50.0,39.0,4.3873,133.61,133.64,<empty>
